2024-05-12T16:28:48,379 INFO  com.github.leovd100.message.service.infraestructureLayer.ProducerMessageImpl - Message sent successfully to RabbitMq ee217d6c-8d4a-40e0-a2cc-8e29e6db44b5
2024-05-12T16:31:15,024 INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-05-12T16:31:15,213 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-05-12T16:31:15,221 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-05-12T16:31:23,162 INFO  com.github.leovd100.message.service.Application - Starting Application using Java 21.0.1 with PID 3632 (C:\marketing Capture\message.service\message.service\target\classes started by Leonardo Vieira in C:\marketing Capture\message.service\message.service)
2024-05-12T16:31:23,181 DEBUG com.github.leovd100.message.service.Application - Running with Spring Boot v3.1.11, Spring v6.0.19
2024-05-12T16:31:23,183 INFO  com.github.leovd100.message.service.Application - No active profile set, falling back to 1 default profile: "default"
2024-05-12T16:31:24,344 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-12T16:31:24,420 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 65 ms. Found 1 JPA repository interface.
2024-05-12T16:31:25,264 INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8083 (http)
2024-05-12T16:31:25,274 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8083"]
2024-05-12T16:31:25,277 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-05-12T16:31:25,278 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-05-12T16:31:25,396 INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-12T16:31:25,398 INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2124 ms
2024-05-12T16:31:25,464 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-05-12T16:31:25,731 INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:testdb user=SA
2024-05-12T16:31:25,733 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-05-12T16:31:25,749 INFO  org.springframework.boot.autoconfigure.h2.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testdb'
2024-05-12T16:31:25,990 INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-12T16:31:26,086 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.24.Final
2024-05-12T16:31:26,093 INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2024-05-12T16:31:26,501 INFO  org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-12T16:31:26,557 WARN  org.hibernate.orm.deprecation - HHH90000025: H2Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-05-12T16:31:27,442 INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-05-12T16:31:27,476 INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
